missing_ref,basename,candidates
models/cultist/humans/nazi/head_gear/cap.mdl,cap.mdl,0.54:3788795433/models/cultist/humans/fbi/head_gear/cap_com.mdl | 0.54:3074010797/models/cultist/humans/fbi/head_gear/cap_com.mdl | 0.52:3788795433/models/cultist/humans/mog/head_gear/cap_engi.mdl
models/cultist/humans/nazi/head_gear/helmet_1.mdl,helmet_1.mdl,1.00:3074010797/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3074010797/models/cultist/humans/obr/head_gear/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/obr/head_gear/helmet_1.mdl
models/cultist/humans/nazi/nazi.mdl,nazi.mdl,
models/cultist/humans/ntf/ntf_female_sniper.mdl,ntf_female_sniper.mdl,0.65:3788795433/models/cultist/humans/ntf/head_gear/ntf_sniper_head.mdl | 0.65:3074010797/models/cultist/humans/ntf/head_gear/ntf_sniper_head.mdl
models/cultist/humans/obr/hands/c_arms_obr.mdl,c_arms_obr.mdl,0.72:3788795433/models/cultist/humans/obr/hands/c_arms_obr_new.mdl | 0.72:3074010797/models/cultist/humans/obr/hands/c_arms_obr_new.mdl | 0.60:3788795433/models/cultist/humans/mog/hands/c_arms_mog.mdl
models/cultist/humans/obr/obr.mdl,obr.mdl,0.54:3788795433/models/cultist/humans/obr/obr_new.mdl | 0.54:3074010797/models/cultist/humans/obr/obr_new.mdl
models/cultist/humans/osn/hands/c_arms_osn.mdl,c_arms_osn.mdl,0.61:3788795433/models/cultist/humans/chaos/hands/c_arms_chaos.mdl | 0.61:3074010797/models/cultist/humans/chaos/hands/c_arms_chaos.mdl | 0.60:3788795433/models/cultist/humans/sci/hands/c_arms_sci.mdl
models/cultist/humans/osn/headgear/helmet_1.mdl,helmet_1.mdl,1.00:3074010797/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3074010797/models/cultist/humans/obr/head_gear/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/obr/head_gear/helmet_1.mdl
models/cultist/humans/osn/osn.mdl,osn.mdl,
models/cultist/humans/russian/hands/c_arms_russians.mdl,c_arms_russians.mdl,1.00:3168756944/models/cultist/humans/gru/hands/c_arms_russians.mdl | 1.00:3396736910/models/cultist/humans/gru/hands/c_arms_russians.mdl
models/cultist/humans/russian/head_gear/cap.mdl,cap.mdl,0.54:3788795433/models/cultist/humans/fbi/head_gear/cap_com.mdl | 0.54:3074010797/models/cultist/humans/fbi/head_gear/cap_com.mdl | 0.52:3788795433/models/cultist/humans/mog/head_gear/cap_engi.mdl
models/cultist/humans/russian/head_gear/helmet_1.mdl,helmet_1.mdl,1.00:3074010797/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3074010797/models/cultist/humans/obr/head_gear/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/goc/head/helmet_1.mdl | 1.00:3788795433/models/cultist/humans/obr/head_gear/helmet_1.mdl
models/cultist/humans/russian/head_gear/helmet_2.mdl,helmet_2.mdl,1.00:3074010797/models/cultist/humans/goc/head/helmet_2.mdl | 1.00:3788795433/models/cultist/humans/goc/head/helmet_2.mdl
models/cultist/humans/russian/head_gear/helmet_beret.mdl,helmet_beret.mdl,1.00:3074010797/models/cultist/humans/mog/head_gear/helmet_beret.mdl | 1.00:3074010797/models/cultist/humans/ntf/head_gear/helmet_beret.mdl | 1.00:3074010797/models/cultist/humans/obr/head_gear/helmet_beret.mdl | 1.00:3074010797/models/cultist/humans/security/head_gear/helmet_beret.mdl | 1.00:3788795433/models/cultist/humans/mog/head_gear/helmet_beret.mdl | 1.00:3788795433/models/cultist/humans/ntf/head_gear/helmet_beret.mdl | 1.00:3788795433/models/cultist/humans/obr/head_gear/helmet_beret.mdl | 1.00:3788795433/models/cultist/humans/security/head_gear/helmet_beret.mdl
models/cultist/humans/russian/russians.mdl,russians.mdl,0.60:3396736910/models/cultist/humans/gru/hands/c_arms_russians.mdl | 0.60:3168756944/models/cultist/humans/gru/hands/c_arms_russians.mdl
models/cultist/humans/security/security_female.mdl,security_female.mdl,0.58:3788795433/models/cultist/humans/sci/scientist_female.mdl | 0.58:3074010797/models/cultist/humans/sci/scientist_female.mdl | 0.58:3788795433/models/cultist/humans/security/security.mdl
models/cultist/humans/specialmod/american/american.mdl,american.mdl,0.54:3352951512/models/weapons/cw_kk_doi/v_binoculars_american.mdl
models/cultist/humans/specialmod/american/arms/c_arms_american.mdl,c_arms_american.mdl,0.61:3788795433/models/cultist/humans/mog/hands/c_arms_admin.mdl | 0.61:3074010797/models/cultist/humans/mog/hands/c_arms_admin.mdl | 0.60:3352951512/models/weapons/cw_kk_doi/v_binoculars_american.mdl
models/cultist/humans/specialmod/american/headgear/helmet.mdl,helmet.mdl,1.00:3074010797/models/cultist/humans/chaos/head_gear/helmet.mdl | 1.00:3074010797/models/cultist/humans/fbi/head_gear/helmet.mdl | 1.00:3074010797/models/cultist/humans/security/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/chaos/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/fbi/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/security/head_gear/helmet.mdl
models/cultist/humans/specialmod/nazi/arms/c_arms_nazi.mdl,c_arms_nazi.mdl,0.60:3788795433/models/cultist/humans/dz/hands/c_arms_dz.mdl | 0.60:3074010797/models/cultist/humans/dz/hands/c_arms_dz.mdl | 0.58:3788795433/models/cultist/humans/sci/hands/c_arms_sci.mdl
models/cultist/humans/specialmod/nazi/headgear/helmet.mdl,helmet.mdl,1.00:3074010797/models/cultist/humans/chaos/head_gear/helmet.mdl | 1.00:3074010797/models/cultist/humans/fbi/head_gear/helmet.mdl | 1.00:3074010797/models/cultist/humans/security/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/chaos/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/fbi/head_gear/helmet.mdl | 1.00:3788795433/models/cultist/humans/security/head_gear/helmet.mdl
models/cultist/humans/specialmod/nazi/nazi.mdl,nazi.mdl,
models/cultist/scp_items/409/w_.mdl,w_.mdl,
models/cw2/attachments/556suppressor.mdl,556suppressor.mdl,
models/cw2/attachments/9mmsuppressor.mdl,9mmsuppressor.mdl,
models/cw2/attachments/anpeq15.mdl,anpeq15.mdl,
models/cw2/attachments/cturiselection/uarhandle.mdl,uarhandle.mdl,
models/cw2/attachments/kobra.mdl,kobra.mdl,1.00:3171580533/models/weapons/upgrades/w_kobra.mdl | 0.55:3171580533/models/weapons/upgrades/a_optic_kobra.mdl
models/cw2/attachments/l96_scope.mdl,l96_scope.mdl,0.57:3171580533/models/weapons/ethereal/upgrades/w_m14_scope.mdl | 0.57:3171580533/models/weapons/ethereal/upgrades/a_m14_scope.mdl | 0.55:3352951512/models/weapons/upgrades/w_fg42_scope.mdl
models/cw2/attachments/lowerpistolrail.mdl,lowerpistolrail.mdl,
models/cw2/attachments/m203.mdl,m203.mdl,1.00:3171580533/models/weapons/upgrades/w_m203.mdl | 1.00:3171506839/models/weapons/tfa_cod/mwr/att/c_m203.mdl | 0.59:3171580533/models/weapons/upgrades/a_gl_m203.mdl
models/cw2/attachments/microt1.mdl,microt1.mdl,
models/cw2/attachments/pbs1.mdl,pbs1.mdl,0.62:3171580533/models/weapons/ethereal/upgrades/f_pbs1.mdl
models/cw2/attachments/pso.mdl,pso.mdl,
models/cw2/attachments/schmidt.mdl,schmidt.mdl,
models/cw2/pistols/deagle.mdl,deagle.mdl,1.00:3171580533/models/weapons/ethereal/w_deagle.mdl | 1.00:3171580533/models/weapons/ethereal/v_deagle.mdl | 1.00:3171580533/models/weapons/cw_cultist/deagle/w_deagle.mdl
models/cw2/pistols/mr96.mdl,mr96.mdl,1.00:3171580533/models/weapons/ethereal/w_mr96.mdl | 1.00:3171580533/models/weapons/ethereal/v_mr96.mdl | 0.53:3171580533/models/weapons/ethereal/v_mr96_anims.mdl
models/cw2/rifles/ak74.mdl,ak74.mdl,1.00:3171580533/models/weapons/w_ak74.mdl | 1.00:3171580533/models/weapons/v_ak74.mdl | 1.00:3171580533/models/weapons/ethereal/w_ak74.mdl
models/cw2/rifles/ar15.mdl,ar15.mdl,
models/cw2/rifles/g3a3.mdl,g3a3.mdl,1.00:3171580533/models/weapons/ethereal/w_g3a3.mdl | 1.00:3171580533/models/weapons/ethereal/v_g3a3.mdl
models/cw2/rifles/l96.mdl,l96.mdl,
models/cw2/rifles/svd.mdl,svd.mdl,1.00:3171580533/models/weapons/ethereal/w_svd.mdl | 1.00:3171580533/models/weapons/ethereal/v_svd.mdl | 1.00:3171580533/models/weapons/cw_cultist/svd/w_svd.mdl
models/cw2/rifles/svd_world.mdl,svd_world.mdl,0.50:3171580533/models/weapons/ethereal/w_svd.mdl | 0.50:3171580533/models/weapons/ethereal/v_svd.mdl | 0.50:3171580533/models/weapons/cw_cultist/svd/w_svd.mdl
models/cw2/rifles/v_famasg2.mdl,v_famasg2.mdl,
models/cw2/smgs/mp5.mdl,mp5.mdl,
models/cwkkdoi/shrek/clean.mdl,clean.mdl,
models/cwkkdoi/shrek/clean_w.mdl,clean_w.mdl,
models/cwkkdoi/w_cw_kk_doi_m1.mdl,w_cw_kk_doi_m1.mdl,1.00:3171580533/models/weapons/w_cw_kk_doi_m1.mdl
models/cyox/mog/mog.mdl,mog.mdl,1.00:3074010797/models/cultist/humans/mog/mog.mdl | 1.00:3788795433/models/cultist/humans/mog/mog.mdl
models/cyox/pickable/kevlar_digitalcamo.mdl,kevlar_digitalcamo.mdl,
models/cyox/scp/173.mdl,173.mdl,1.00:3074029785/models/cultist/scp/173.mdl | 1.00:3788784337/models/cultist/scp/173.mdl
models/gmod4phun/60rndmag.mdl,60rndmag.mdl,
models/goc_hands/c_arms_goc.mdl,c_arms_goc.mdl,1.00:3074010797/models/cultist/humans/goc/hands/c_arms_goc.mdl | 1.00:3788795433/models/cultist/humans/goc/hands/c_arms_goc.mdl
models/hdweapons/rifleshell.mdl,rifleshell.mdl,1.00:2840031720/models/tfa/rifleshell.mdl | 1.00:3171506839/models/tfa/rifleshell.mdl
models/hdweapons/rifleshell_hd.mdl,rifleshell_hd.mdl,0.65:3171506839/models/tfa/rifleshell.mdl | 0.65:2840031720/models/tfa/rifleshell.mdl
models/hdweapons/shell.mdl,shell.mdl,0.57:3171506839/models/weapons/tfa_bo3/ex41/ex41_shell.mdl | 0.50:3352951512/models/weapons/shells/artillery_shell.mdl
models/hdweapons/shell_hd.mdl,shell_hd.mdl,0.52:3171506839/models/weapons/tfa_bo3/ex41/ex41_shell.mdl
models/hdweapons/shotgun_shell.mdl,shotgun_shell.mdl,0.58:3788784337/models/cultist/scp/scp_973/weapons/w_shotgun.mdl | 0.58:3788784337/models/cultist/scp/scp_973/weapons/v_shotgun.mdl | 0.58:3074029785/models/cultist/scp/scp_973/weapons/w_shotgun.mdl
models/hdweapons/shotgun_shell_hd.mdl,shotgun_shell_hd.mdl,
models/jessev92/weapons/buddyfinder_c.mdl,buddyfinder_c.mdl,
models/jessev92/weapons/buddyfinder_w.mdl,buddyfinder_w.mdl,
models/MaxOfS2D/camera.mdl,camera.mdl,
models/maxofs2d/cube_tool.mdl,cube_tool.mdl,
models/maxofs2d/motion_sensor.mdl,motion_sensor.mdl,
models/mishka/models/scp714.mdl,scp714.mdl,1.00:3074044716/models/cultist/scp_items/714/scp714.mdl | 1.00:3788788899/models/cultist/scp_items/714/scp714.mdl
models/nova/chair_plastic01.mdl,chair_plastic01.mdl,0.54:3788798983/models/props_gffice/chair_casual.mdl | 0.54:3074023535/models/props_gffice/chair_casual.mdl | 0.53:3788798983/models/props_interiors/chair_office2.mdl
models/player/april/the_goose.mdl,the_goose.mdl,0.58:3493961938/models/weapons/charming_discussion/wm_goose.mdl | 0.58:3493961938/models/weapons/charming_discussion/vm_goose.mdl
models/player/cheddar/ambassador/goc_male_07.mdl,goc_male_07.mdl,
models/player/cheddar/goc/strike_team_soldier2/goc_striker_team.mdl,goc_striker_team.mdl,
models/player/cheddar/goc_soldier/goc_field_operative.mdl,goc_field_operative.mdl,
models/player/cheddar/goc_soldier/goc_officer.mdl,goc_officer.mdl,0.53:3788788899/models/props_breach/goc_shield.mdl | 0.53:3074044716/models/props_breach/goc_shield.mdl | 0.52:3788788899/models/shaky/goc_teleporter.mdl
models/player/cheddar/suit/orange_suit/orangesuit.mdl,orangesuit.mdl,
models/player/kerry/mikkelsen_player.mdl,mikkelsen_player.mdl,
models/props/cs_assault/money.mdl,money.mdl,
models/scp_527/scp_527.mdl,scp_527.mdl,0.64:3788788899/models/cultist/scp_items/427/scp_427.mdl | 0.64:3788788899/models/cultist/scp_items/207/w_scp_207.mdl | 0.64:3788788899/models/cultist/scp_items/207/v_scp_207.mdl
models/scp012comp/scp012comp.mdl,scp012comp.mdl,
models/shaky/funnyheads/head_gremlin.mdl,head_gremlin.mdl,0.60:3788795433/models/cultist/humans/security/heads/head_main.mdl | 0.60:3788795433/models/cultist/humans/obr/heads/head_main.mdl | 0.60:3788795433/models/cultist/humans/ntf/heads/head_main.mdl
models/tdmcars/jeep_wrangler88.mdl,jeep_wrangler88.mdl,
models/trees/new_elm.mdl,new_elm.mdl,0.55:3788798983/models/shaky/new_anims.mdl | 0.55:3074046594/models/shaky/new_anims.mdl
models/v_fas2_leupold_mounts.mdl,v_fas2_leupold_mounts.mdl,
models/vinrax/props/keycard.mdl,keycard.mdl,1.00:3788788899/models/cultist/items/keycards/w_keycard.mdl | 1.00:3788788899/models/cultist/items/keycards/v_keycard.mdl | 1.00:3074044716/models/cultist/items/keycards/w_keycard.mdl
models/weapons/aof/v_machete.mdl,v_machete.mdl,
models/weapons/aof/w_machete.mdl,w_machete.mdl,
models/weapons/attachments/c_cw_kk_holosight.mdl,c_cw_kk_holosight.mdl,0.57:3171580533/models/weapons/attachments/w_cw_kk_ins2_flipsight.mdl | 0.57:3171580533/models/weapons/attachments/v_cw_kk_ins2_flipsight.mdl | 0.54:3171580533/models/weapons/w_cw_kk_doi_m1.mdl
models/weapons/attachments/kk_leupold_dpp.mdl,kk_leupold_dpp.mdl,
models/weapons/beretta/insguns_v_beretta.mdl,insguns_v_beretta.mdl,
models/weapons/c_arms_animations.mdl,c_arms_animations.mdl,0.63:3788798983/models/mpf_animations.mdl | 0.63:3074046594/models/mpf_animations.mdl | 0.58:3788795433/models/cultist/humans/mog/hands/c_arms_hazmat.mdl
models/weapons/cw_cultist/ak12/weapons/upgrades/w_foregrip_wood_2.mdl,w_foregrip_wood_2.mdl,1.00:3171580533/models/weapons/cw_cultist/ak117/upgrades/w_foregrip_wood_2.mdl | 1.00:3171580533/models/weapons/cw_cultist/ak12/upgrades/w_foregrip_wood_2.mdl | 1.00:3171580533/models/weapons/ethereal/ak74z_upgrades/w_foregrip_wood_2.mdl | 1.00:3171580533/models/weapons/upgrades/w_foregrip_wood_2.mdl
models/weapons/cw_cultist/d4/upgrades/a_standard_mk18.mdl,a_standard_mk18.mdl,1.00:3171580533/models/weapons/cw_cultist/acr/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/arx/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/freedom/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/hk416c/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/imbel/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/sq300/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/upgrades/a_standard_mk18.mdl
models/weapons/cw_cultist/d4/upgrades/a_standard2_mk18.mdl,a_standard2_mk18.mdl,1.00:3171580533/models/weapons/cw_cultist/arx/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/freedom/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/imbel/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/qbz/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/sq300/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/mk18mod1/upgrades/a_standard2_mk18.mdl | 1.00:3171580533/models/weapons/upgrades/a_standard2_mk18.mdl
models/weapons/cw_cultist/d4/upgrades/w_flipup2.mdl,w_flipup2.mdl,1.00:3171580533/models/weapons/cw_cultist/acr/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/arx/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/hk416c/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/imbel/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/ethereal/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/upgrades/w_flipup2.mdl
models/weapons/cw_cultist/groza/upgrades/upgrades/a_modkit_07.mdl,a_modkit_07.mdl,1.00:3171580533/models/weapons/cw_cultist/groza/upgrades/a_modkit_07.mdl | 1.00:3171580533/models/weapons/ethereal/ak74uz_upgrades/a_modkit_07.mdl | 1.00:3171580533/models/weapons/upgrades/a_modkit_07.mdl
models/weapons/cw_cultist/m4a1_tech/w_m4a1_tech.mdl,w_m4a1_tech.mdl,1.00:3171580533/models/weapons/cw_cultist/m4a1_tech/v_m4a1_tech.mdl | 0.55:3171580533/models/weapons/w_m4a1.mdl | 0.55:3171580533/models/weapons/v_m4a1.mdl
models/weapons/cw_cultist/rpk74/_rpk74.mdl,_rpk74.mdl,0.96:3171580533/models/weapons/cw_cultist/rpk74/w_rpk74.mdl | 0.96:3171580533/models/weapons/cw_cultist/rpk74/v_rpk74.mdl
models/weapons/cw_cultist/uar556/upgrades/a_standard2_m4a1.mdl,a_standard2_m4a1.mdl,1.00:3171580533/models/weapons/upgrades/a_standard2_m4a1.mdl
models/weapons/cw_cultist/upgrades/a_standard_mk18.mdl,a_standard_mk18.mdl,1.00:3171580533/models/weapons/cw_cultist/acr/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/arx/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/freedom/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/hk416c/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/imbel/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/cw_cultist/sq300/upgrades/a_standard_mk18.mdl | 1.00:3171580533/models/weapons/upgrades/a_standard_mk18.mdl
models/weapons/cw_cultist/upgrades/w_flipup2.mdl,w_flipup2.mdl,1.00:3171580533/models/weapons/cw_cultist/acr/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/arx/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/hk416c/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/cw_cultist/imbel/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/ethereal/upgrades/w_flipup2.mdl | 1.00:3171580533/models/weapons/upgrades/w_flipup2.mdl
models/weapons/cw_kk_doi/v_anm14.mdl,v_anm14.mdl,1.00:3171580533/models/weapons/v_anm14.mdl | 1.00:3171580533/models/weapons/ethereal/v_anm14.mdl
models/weapons/cwc_crowbar/v_cwc_cbar.mdl,v_cwc_cbar.mdl,
models/weapons/cwc_crowbar/w_knife_t.mdl,w_knife_t.mdl,0.60:3788795433/models/cultist/humans/fbi/weapons/knife/w_knife_fbi.mdl | 0.60:3788795433/models/cultist/humans/fbi/weapons/knife/v_knife_fbi.mdl | 0.60:3074010797/models/cultist/humans/fbi/weapons/knife/w_knife_fbi.mdl
models/weapons/fal/blvck.mdl,blvck.mdl,
models/weapons/fal/dosh.mdl,dosh.mdl,
models/weapons/fal/w_blvck.mdl,w_blvck.mdl,
models/weapons/fal/w_dosh.mdl,w_dosh.mdl,
models/weapons/flare.mdl,flare.mdl,
models/weapons/rifleshell.mdl,rifleshell.mdl,1.00:2840031720/models/tfa/rifleshell.mdl | 1.00:3171506839/models/tfa/rifleshell.mdl
models/weapons/rifleshell_hd.mdl,rifleshell_hd.mdl,0.65:3171506839/models/tfa/rifleshell.mdl | 0.65:2840031720/models/tfa/rifleshell.mdl
models/weapons/scpid_d.mdl,scpid_d.mdl,
models/weapons/scpid_d_worldmodel.mdl,scpid_d_worldmodel.mdl,
models/weapons/scpid_jan.mdl,scpid_jan.mdl,
models/weapons/scpid_jan_worldmodel.mdl,scpid_jan_worldmodel.mdl,
models/weapons/shell.mdl,shell.mdl,0.57:3171506839/models/weapons/tfa_bo3/ex41/ex41_shell.mdl | 0.50:3352951512/models/weapons/shells/artillery_shell.mdl
models/weapons/shell_hd.mdl,shell_hd.mdl,0.52:3171506839/models/weapons/tfa_bo3/ex41/ex41_shell.mdl
models/weapons/Shotgun_shell.mdl,shotgun_shell.mdl,0.58:3788784337/models/cultist/scp/scp_973/weapons/w_shotgun.mdl | 0.58:3788784337/models/cultist/scp/scp_973/weapons/v_shotgun.mdl | 0.58:3074029785/models/cultist/scp/scp_973/weapons/w_shotgun.mdl
models/weapons/shotgun_shell_hd.mdl,shotgun_shell_hd.mdl,
models/weapons/stattrack.mdl,stattrack.mdl,
models/weapons/stattrack_cut.mdl,stattrack_cut.mdl,
models/weapons/svd/a_optic_pso.mdl,a_optic_pso.mdl,0.60:3171580533/models/weapons/upgrades/a_optic_po4x24.mdl | 0.60:3171580533/models/weapons/upgrades/a_optic_pistoldot.mdl | 0.59:3171580533/models/weapons/upgrades/a_optic_scar.mdl
models/weapons/svd/v_svd.mdl,v_svd.mdl,1.00:3171580533/models/weapons/cw_cultist/svd/v_svd.mdl | 1.00:3171580533/models/weapons/ethereal/v_svd.mdl
models/weapons/uid.mdl,uid.mdl,
models/weapons/unloaded/snip_awp_mag.mdl,snip_awp_mag.mdl,
models/weapons/upgraded/a_flashlight_rail.mdl,a_flashlight_rail.mdl,1.00:3171580533/models/weapons/upgrades/a_flashlight_rail.mdl
models/weapons/v_bar.mdl,v_bar.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_bar.mdl
models/weapons/v_bazooka.mdl,v_bazooka.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_bazooka.mdl
models/weapons/v_binoculars_american.mdl,v_binoculars_american.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_binoculars_american.mdl
models/weapons/v_binoculars_british.mdl,v_binoculars_british.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_binoculars_british.mdl
models/weapons/v_binoculars_german.mdl,v_binoculars_german.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_binoculars_german.mdl
models/weapons/v_brassknuckles.mdl,v_brassknuckles.mdl,1.00:3171580533/models/weapons/cw_kk_doi_c054/v_brassknuckles.mdl | 1.00:3352951512/models/weapons/kk_doi/v_brassknuckles.mdl
models/weapons/v_bren.mdl,v_bren.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_bren.mdl
models/weapons/v_browninghp.mdl,v_browninghp.mdl,1.00:3171580533/models/weapons/browninghp/v_browninghp.mdl | 1.00:3352951512/models/weapons/cw_kk_doi/v_browninghp.mdl
models/weapons/v_c96.mdl,v_c96.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_c96.mdl
models/weapons/v_c96_carbine.mdl,v_c96_carbine.mdl,1.00:3171580533/models/weapons/cw_kk_doi_c054/v_c96_carbine.mdl | 1.00:3352951512/models/weapons/cw_kk_doi/v_c96_carbine.mdl
models/weapons/v_cw_fraggrenade.mdl,v_cw_fraggrenade.mdl,
models/weapons/v_cw_kk_doi_hatchet_redux.mdl,v_cw_kk_doi_hatchet_redux.mdl,0.63:3171580533/models/weapons/v_cw_kk_doi_garand.mdl | 0.62:3171580533/models/weapons/v_cw_kk_doi_enfield.mdl | 0.61:3171580533/models/weapons/v_cw_kk_doi_m3a1_a.mdl
models/weapons/v_cw_kk_doi_m18.mdl,v_cw_kk_doi_m18.mdl,0.83:3171580533/models/weapons/w_cw_kk_doi_m1.mdl | 0.81:3171580533/models/weapons/v_cw_kk_doi_m3a1.mdl | 0.81:3171580533/models/weapons/v_cw_kk_doi_1928.mdl
models/weapons/v_enfield_bayonet.mdl,v_enfield_bayonet.mdl,1.00:3352951512/models/weapons/cw_kk_doi/v_enfield_bayonet.mdl
models/weapons/v_eq_flashbang.mdl,v_eq_flashbang.mdl,
models/weapons/v_eq_smokegrenade.mdl,v_eq_smokegrenade.mdl,
models/weapons/v_etool_brit.mdl,v_etool_brit.mdl,1.00:3352951512/models/weapons/kk_doi/v_etool_brit.mdl
